gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
LOLTMNT06_13695,MAD Lions KOI,Team Heretics,LEC,14.01,Gwen,Xin Zhao,LeBlanc,Aphelios,Renata Glasc,Gragas,Vi,Ryze,Lucian,Nami,Neeko,Tristana,Milio,Poppy,Jax,Ashe,Caitlyn,Kalista,Nautilus,Rumble,0
LOLTMNT06_12814,GiantX,Team BDS,LEC,14.01,K'Sante,Lee Sin,Neeko,Kalista,Rell,Garen,Graves,Orianna,Varus,Ashe,Nocturne,Vi,Poppy,Olaf,Darius,Draven,LeBlanc,Rumble,Blitzcrank,Nautilus,1
LOLTMNT06_13803,MAD Lions KOI,SK Gaming,LEC,14.01,Poppy,Xin Zhao,Gragas,Lucian,Milio,Renekton,Rell,Akali,Kalista,Renata Glasc,Jax,Nocturne,Maokai,Aatrox,Azir,Rumble,LeBlanc,Ashe,Gwen,Neeko,1
LOLTMNT06_12845,G2 Esports,Karmine Corp,LEC,14.01,Kennen,Viego,LeBlanc,Aphelios,Nautilus,Malphite,Vi,Neeko,Lucian,Milio,Renata Glasc,Ashe,Nocturne,Jayce,Jax,Draven,Kalista,Rumble,Poppy,Bel'Veth,0
LOLTMNT06_13841,Fnatic,Team Vitality,LEC,14.01,K'Sante,Poppy,Azir,Varus,Renata Glasc,Jax,Xin Zhao,Xerath,Lucian,Nami,Nocturne,LeBlanc,Ashe,Orianna,Gragas,Rumble,Kalista,Caitlyn,Vi,Jarvan IV,0
LOLTMNT06_12874,Rogue,Team Heretics,LEC,14.01,Aatrox,Maokai,Azir,Kalista,Rell,K'Sante,Xin Zhao,Akali,Varus,Bard,Milio,Rumble,Gragas,Heimerdinger,Nautilus,Caitlyn,LeBlanc,Renata Glasc,Gwen,Jax,1
LOLTMNT02_20319,DRX Challengers,BNK FEARX Youth,LCKC,14.01,Gwen,Lee Sin,Hwei,Varus,Karma,Aatrox,Poppy,Azir,Jhin,Pyke,Kalista,Nocturne,LeBlanc,Bard,K'Sante,Rumble,Ashe,Lucian,Nautilus,Malphite,0
LOLTMNT02_19316,BNK FEARX Youth,DRX Challengers,LCKC,14.01,Gnar,Xin Zhao,LeBlanc,Xayah,Rakan,K'Sante,Lee Sin,Tristana,Ezreal,Karma,Rumble,Ashe,Nocturne,Ziggs,Renata Glasc,Kalista,Lucian,Varus,Gwen,Malphite,0
LOLTMNT02_20354,DRX Challengers,BNK FEARX Youth,LCKC,14.01,Aatrox,Vi,Hwei,Lucian,Milio,Yone,Lee Sin,Azir,Varus,Renata Glasc,Kalista,Nocturne,LeBlanc,K'Sante,Akali,Rumble,Ashe,Poppy,Neeko,Orianna,1
LOLTMNT03_30769,ION Global Esports,FURY Global,LCO,14.01,Gragas,Jarvan IV,LeBlanc,Lucian,Nami,K'Sante,Viego,Malzahar,Aphelios,Milio,Bel'Veth,Jax,Nocturne,Yone,Xin Zhao,Ashe,Rumble,Kalista,Gwen,Aatrox,0
